,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Pickup_x,Pickup_y,Dropoff_x,Dropoff_y,start_edge,end_edge,id,depart,vClass,departLane,type,departSpeed
956,1b6a954fbbb890930a630025207efcd7ddda64d0,31a4b6ac88852a96ec7b5d7687957f024efb39b7ba5055f527c22a7f69958390fc783252b99f886c962df0f8209de4e323248cf7fcf014d4437cf10154d60a3f,07/20/2019 09:45:00 AM,07/20/2019 10:00:00 AM,540,1.4,17031081500.0,17031281900.0,8.0,28.0,7.5,4.0,0.0,0.0,11.5,Credit Card,Taxi Affiliation Services,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),12685.276812698052,10858.865207103081,11310.927751319367,9397.533141246997,56720835#3,319345470#0,taxi_429,1933.0089425299757,,best,veh_passenger,None
957,f1b03e11044c27b8b2d5016c291abe69d1b667e4,768431d476300aa4759020069a99c25201a9ce1c21e94e0ddc7be63cee1fd4061abbb9a63d248e5cb264e9fd32b81300fa9658deed7e4c6d2b5df1489e123f12,07/20/2019 10:00:00 AM,07/20/2019 10:00:00 AM,720,0.1,17031280100.0,17031081500.0,28.0,8.0,9.25,1.25,0.0,0.0,10.5,Credit Card,Blue Ribbon Taxi Association Inc.,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),11302.723054060945,10068.785636899062,12685.276812698052,10858.865207103081,145857394#0,56720835#3,taxi_430,1939.9393582271418,,best,veh_passenger,None
960,973e5b41b3df120647eb70761b449563e6e92712,7ba018c4d08ff2e4bd4a9dbd8ade57268be196ba9ad58273d9f0dab5b78d1292e91b1be305638309976e90d50489f712a98fba5421d8311dcf0576a4e49829d6,07/22/2019 03:45:00 PM,07/22/2019 04:00:00 PM,856,1.7,17031081202.0,17031839100.0,8.0,32.0,9.5,2.0,0.0,1.5,13.5,Credit Card,Chicago Independents,41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),12699.357244118815,12000.216594858095,12134.00798140082,9584.547444195487,-834947074#3,134319745#0,taxi_431,1940.8986438962138,,best,veh_passenger,None
962,6dbe976d8966b95eb2af9fcaabaa15f243847e58,bb0a5453416563998f2c5b11c17e497689270e336a7887d017baa0c19374b2505ad701ded56371b81cb063e7f35f91c018a8ef1b3beb29ba72a20594c2c83f45,07/23/2019 03:15:00 PM,07/23/2019 03:15:00 PM,240,0.7,17031281900.0,17031320400.0,28.0,32.0,5.25,0.0,0.0,1.0,6.25,Cash,Taxi Affiliation Services,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),11310.927751319367,9397.533141246997,13025.133774957969,9179.60784426704,1031291396#1,33116710#0,taxi_432,1944.7249596416984,,best,veh_passenger,None
965,c221741fe843b47dba54be88437a4007820f5943,926aca65cddbfce7915dde52b9dad1eeba3a34763f280c5f2ec57d66398420d924611704693bfec32cd6961e04510855714ec013f1b24605d92ff498fd3562b2,07/24/2019 09:00:00 AM,07/24/2019 09:00:00 AM,660,0.0,17031081800.0,17031839100.0,8.0,32.0,7.25,0.0,0.0,0.0,7.25,Cash,Blue Ribbon Taxi Association Inc.,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),11721.124692709534,10944.643321189098,12134.00798140082,9584.547444195487,23891801#0,134319745#0,taxi_433,1946.3079397770573,,best,veh_passenger,None
966,4f8c864a9294a5b81010a5b863b9b6fdd6a34662,99b1203df31b26f1c372e57926d731514ae839dbb485f31550d6d8132420f3bc51bd4d0d0f67871bb66a02360097dd0040b364ce63b812af76d0207b796840ef,07/24/2019 05:45:00 PM,07/24/2019 05:45:00 PM,540,1.3,17031839100.0,17031081800.0,32.0,8.0,7.25,1.0,0.0,0.0,8.25,Credit Card,Top Cab Affiliation,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),12134.00798140082,9584.547444195487,11721.124692709534,10944.643321189098,134319745#0,23891801#0,taxi_434,1954.9296341575732,,best,veh_passenger,None
967,3bafc4dad02b384f4a5aef21c1367200136da2f8,a149c6df861b2eff6f27491e024e37d2c3705aa5399c316c0cb9b8d414ae1cda25b22c3d3dc2d2e4ae79c05c4567446f3245aac0a65e8703aa4ec31bc505ec0e,07/24/2019 09:30:00 PM,07/24/2019 09:45:00 PM,840,2.2,17031330100.0,17031081500.0,33.0,8.0,10.5,0.0,0.0,0.0,10.5,Cash,Choice Taxi Association,41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),13393.542399950791,7172.094790545292,12685.276812698052,10858.865207103081,1086422959,56720835#3,taxi_435,1959.5912539115668,,best,veh_passenger,None
969,801457f81258ee254c48a05a382535e4e091ac46,008ca9f6e7dff925f1a18284fb269fc3c781977db68d1580f0b02842003a66b390ad28ce875fd7fdcca3880c12bbeab9beb1404c32bd0ae39f5f8ae22d90dad2,07/25/2019 08:45:00 AM,07/25/2019 09:00:00 AM,780,1.6,17031081401.0,17031839100.0,8.0,32.0,9.0,3.15,0.0,0.0,12.15,Credit Card,Taxi Affiliation Services,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13226.876501449384,11135.36641502101,12134.00798140082,9584.547444195487,461207921#0,134319745#0,taxi_436,1960.0432193778327,,best,veh_passenger,None
970,a4c2a52036c00ff4a0a69f27a1c591a5c652129f,6aeb4a88ff55ac575e3ef10ef32622967534bd48fb9ba6f3ebcb97b182cba5a8513335b2533b132c4f2e5ecde030e9fce3877f769603ecefae3ffe0c049b8e49,07/25/2019 09:45:00 AM,07/25/2019 10:00:00 AM,960,1.2,17031281900.0,17031320400.0,28.0,32.0,9.0,2.0,0.0,0.0,11.0,Credit Card,Taxi Affiliation Services,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),11310.927751319367,9397.533141246997,13025.133774957969,9179.60784426704,1031291396#1,33116710#0,taxi_437,1962.2860038947724,,best,veh_passenger,None
971,9f9daa05b4b0f8971fb05065c04301eaf21c1790,17e5ec0902050b4cb63ab2f7b82cd36b81c289767b4f4f41a2315bc80725578c0e3b14c7b21a6a1d3543744e332a7b468e3e470249fe1581aee2292fe21794cc,07/25/2019 10:30:00 AM,07/25/2019 10:45:00 AM,755,1.22,17031280100.0,17031320400.0,28.0,32.0,8.0,0.0,0.0,0.0,8.0,Cash,Chicago Carriage Cab Corp,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),11302.723054060945,10068.785636899062,13025.133774957969,9179.60784426704,145857394#0,33116710#0,taxi_438,1969.9210310209373,,best,veh_passenger,None
972,8b600176daaea82f53bd33234b8a66f812de8886,67d5ca2736337fa9f349db0f29887fe290c0cd8426305560537270cf160e322170787d2149cd327faf66841281ba8610c7efe0edc9dc0ca436a79be991e79fe2,07/25/2019 12:30:00 PM,07/25/2019 01:30:00 PM,2880,18.0,17031320100.0,17031081300.0,32.0,8.0,45.5,10.0,0.0,4.0,60.0,Credit Card,Medallion Leasin,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),13112.436993356852,10020.725180737674,13142.24239234865,11502.204498006962,583081972,-316912742,taxi_439,1974.0291874501688,,best,veh_passenger,None
973,b433eb4c8e08773b88e0e115c9f01828fcaf7ca9,bd17c98f1180b95a8fb96443859794525f51e99ef771322991daf04a039488abdbfb2a2b40e466859a38f74f3f12fc05746ad0062932f0e560f15505d5172b16,07/25/2019 08:45:00 PM,07/25/2019 09:00:00 PM,508,1.28,17031081700.0,17031833000.0,8.0,28.0,7.25,0.0,0.0,1.0,8.25,Cash,Flash Cab,41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),12216.266053279163,10810.601439353079,10105.933551041875,10075.774430510588,965387812#0,-283273061#9,taxi_440,1981.2419368656692,,best,veh_passenger,None
978,79dbb32e3394d75c2fa7fbc0cf5e5ae919f283d5,4a3ff87c5a5781a6605ba7c1d067c1026511f4a3c3062301d3f60b23cef6cad99a949d0b98d5cbfeffadf2779013455003501d1aaccd932a711096dea63178d7,07/27/2019 08:00:00 PM,07/27/2019 08:00:00 PM,360,0.6,17031081202.0,17031081401.0,8.0,8.0,5.25,2.0,0.0,0.0,7.25,Credit Card,Taxi Affiliation Services,41.902788048,-87.62614559,POINT (-87.6261455896 41.9027880476),41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),12699.357244118815,12000.216594858095,13226.876501449384,11135.36641502101,-834947074#3,461207921#0,taxi_441,1987.2501364589464,,best,veh_passenger,None
979,c1a163092420c10804f03cfd7dadcc79e4eaea35,ece9701278fd334be95fbc08fa75812042ef9d3160d6d22a7a76a60a12c0a5c1f321fdd4f5dda24b5bd4f8bac7c388828a70b1235ddd5e222e75f49220685eb6,07/27/2019 08:00:00 PM,07/27/2019 08:15:00 PM,743,2.12,17031081300.0,17031280100.0,8.0,28.0,9.5,0.0,0.0,1.0,10.5,Cash,Chicago Carriage Cab Corp,41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),13142.24239234865,11502.204498006962,11302.723054060945,10068.785636899062,-316912742,145857394#0,taxi_442,1996.1411685365445,,best,veh_passenger,None
982,66e29fdb9712a8a1711f162c50b8a2511f386bc1,8f20ceb1a3aab00d31c9365224dde1ae3f4b8fd4062dba0d132468847373af1abb42718a0f874ebe75e8b9b256d7cde41306c43db27121e3800d1d3cc1cf149c,07/28/2019 06:45:00 PM,07/28/2019 07:00:00 PM,277,0.62,17031320100.0,17031081700.0,32.0,8.0,5.25,0.0,0.0,0.0,5.25,Cash,Sun Taxi,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),13112.436993356852,10020.725180737674,12216.266053279163,10810.601439353079,583081972,965387812#0,taxi_443,2001.5002394027692,,best,veh_passenger,None
984,69b7fa59e231eed6caeddfd2c7fc98498283e5b2,d8c3ec23294e2f803267fe7285aa44bf93cebb6baed94e81fdac7c90e979154d0e0342e7f6bfdb61b9c01633198c2fa548adbd713bb36ffd4722d90e4db8cd48,07/29/2019 06:45:00 PM,07/29/2019 06:45:00 PM,343,1.17,17031839100.0,17031320400.0,32.0,32.0,6.25,2.0,0.0,0.0,8.75,Credit Card,Flash Cab,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),12134.00798140082,9584.547444195487,13025.133774957969,9179.60784426704,134319745#0,33116710#0,taxi_444,2010.0505958787576,,best,veh_passenger,None
990,6e481b41407c0f19794658901dcd426c88e21129,bd8e56507781dbc93fbb8a08e8d441b8d64f78a52affec71f14ad3aad6e0d044352be167df78a16637bcc7d4a29e58905047af5434b269c8b2509dd297477ad7,08/01/2019 06:45:00 PM,08/01/2019 07:00:00 PM,878,1.72,17031320400.0,17031081300.0,32.0,8.0,9.25,0.0,0.0,1.5,10.75,Cash,Flash Cab,41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),13025.133774957969,9179.60784426704,13142.24239234865,11502.204498006962,33116710#0,-316912742,taxi_445,2018.0734292110515,,best,veh_passenger,None
991,3e61a2755ed4e07e5236f74ecdd646f5dcb20d09,edcd6d939a065b4d0028d5219351a593d77b1b17637db36de6726e2c693849377ecf8b8d37b260488e34e24be5c4c3fe457fc9325a3df3600a972fc0aa854339,08/01/2019 07:45:00 PM,08/01/2019 07:45:00 PM,371,1.0,17031320100.0,17031839100.0,32.0,32.0,6.0,2.0,0.0,0.0,8.5,Credit Card,Setare Inc,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13112.436993356852,10020.725180737674,12134.00798140082,9584.547444195487,583081972,134319745#0,taxi_446,2023.5873001159073,,best,veh_passenger,None
992,087ee438b606d04e8a873424a890b0746f4ef0d0,ce261d848de6da143b8f88782c3e86196ebcbdac96e4d9aff669be33accbbebcc189590e6a9b1ae0f45bb1d83f0ec9557ae26a932266fc7ed972ae25b3692783,08/02/2019 10:30:00 AM,08/02/2019 10:45:00 AM,411,0.49,17031330100.0,17031839000.0,33.0,32.0,5.75,2.0,0.0,0.5,8.25,Prcard,Flash Cab,41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),41.87101588,-87.631406525,POINT (-87.6314065252 41.8710158803),13393.542399950791,7172.094790545292,12237.037703317474,8475.833631490357,1086422959,-73911663#3,taxi_447,2030.0607657673909,,best,veh_passenger,None
993,0d7ff5f3fb58d2e539caae57dc45b7c946896c54,740852a86209213026ab84487ad86cd140ece545bef8f2d024b9f3ab8a2ddfad1560738fd8f19d0c8775c78d8dbcded5605537f2871f5fd0112642597e697ddb,08/02/2019 10:45:00 AM,08/02/2019 11:00:00 AM,540,1.5,17031281900.0,17031320100.0,28.0,32.0,7.75,0.0,0.0,1.5,9.25,Cash,KOAM Taxi Association,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),11310.927751319367,9397.533141246997,13112.436993356852,10020.725180737674,1031291396#1,633946076,taxi_448,2034.6037692508105,,best,veh_passenger,None
994,a5f898d141ba192f208f8bca2ce72c7ac7558ef2,9b649f4d2aeac91f35d3bcb6e0ff8c45585ac2173f3a10aeb780e35cfb74cb760ae7bb3e35c0dab3de61eb3c53857b049a8ebe99ad68f1bd9b01dbaf245c5195,08/02/2019 03:00:00 PM,08/02/2019 03:15:00 PM,600,3.9,17031081500.0,17031062000.0,8.0,6.0,13.25,3.4,0.0,0.0,16.65,Credit Card,Taxi Affiliation Services,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.942577185,-87.647078509,POINT (-87.6470785093 41.942577185),12685.276812698052,10858.865207103081,10996.430511697603,16430.8147342233,56720835#3,24078773#0,taxi_449,2042.0788917783032,,best,veh_passenger,None
995,2be6420f61be995ee19d066a6017ad5b795ef44d,9f2cb5811cb0450b60400085b275296a3a307c2c26458f0e2c121b557e5a86c2760a1b5fab999cc57da013428e11787f1068d575d2115baa657215abf62ba3fa,08/02/2019 08:15:00 PM,08/02/2019 08:30:00 PM,903,5.23,17031839100.0,17031070101.0,32.0,7.0,16.5,2.55,0.0,0.0,19.55,Credit Card,Flash Cab,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.92926299,-87.635890954,POINT (-87.6358909539 41.9292629902),12134.00798140082,9584.547444195487,11912.831322411483,14945.621564830653,134319745#0,-373857680#1,taxi_450,2047.0097393338006,,best,veh_passenger,None
996,77d847d8dcee56e9637b6ce8a4503de7db86bce7,c67bf4a279cfad1862226dfc24a15df3792180302411a7bddbe451c051c5d50a155a8d1cb12e3d5826550f28f5b41666a3e7a3e45255fefe9ffbe6705d1f7ccc,08/02/2019 09:00:00 PM,08/02/2019 09:15:00 PM,932,5.02,17031320100.0,17031061902.0,32.0,6.0,15.5,3.2,0.0,0.0,19.2,Credit Card,Chicago Carriage Cab Corp,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.943155086,-87.640698076,POINT (-87.640698076 41.9431550855),13112.436993356852,10020.725180737674,11525.800811215653,16491.00539155118,583081972,619459081#0,taxi_451,2055.0846122629,,best,veh_passenger,None
998,8d5d0900ad2c65f2ef6970b4812858bc6209678a,1ea1e5a78c42dc6a54d25fee07022a14e5d03cc06a597c8761bab7a2989b14d927fea95e838f81be87a7f5c09054fbc45862cbc09a47b9c9b6aebd93520e2120,08/03/2019 09:15:00 AM,08/03/2019 09:30:00 AM,720,3.0,17031280100.0,17031330100.0,28.0,33.0,11.25,0.0,0.0,0.0,11.25,Cash,Medallion Leasin,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),11302.723054060945,10068.785636899062,13393.542399950791,7172.094790545292,145857394#0,316907585,taxi_452,2061.7775112423365,,best,veh_passenger,None
999,4ff13b2cd95d2b2eb526a0c2f577ed8b5af64da3,ca30b49aab641fe71294a9b03b991b968c7f3e47e1169140822a128e8a2519736f5b12b38680410ecc3a222a14cd4a610b462a88eecfe74a3084eabf8b794565,08/03/2019 10:30:00 AM,08/03/2019 10:30:00 AM,277,0.84,17031081500.0,17031081800.0,8.0,8.0,5.75,2.0,0.0,1.0,9.25,Credit Card,Sun Taxi,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),12685.276812698052,10858.865207103081,11721.124692709534,10944.643321189098,56720835#3,23891801#0,taxi_453,2066.0495811737437,,best,veh_passenger,None
1009,fe255d7e10e30487bed0052eda80b476e50a83ef,70310ef891a6c3b2bc1ec7968765c6490fd04a8af40d69e0d0dc94ce0b5b5f329be63005eff54aa43f384ff72ce921e975e1230d53b56301ce5225b5c3095133,08/05/2019 09:45:00 AM,08/05/2019 09:45:00 AM,818,2.5,17031841000.0,17031320100.0,33.0,32.0,11.0,1.88,0.0,1.0,14.38,Credit Card,Checker Taxi Affiliation,41.849246754,-87.624135298,POINT (-87.6241352979 41.8492467545),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12822.871959066193,6054.462688289583,13112.436993356852,10020.725180737674,-488356724#4,633946076,taxi_454,2068.382305109929,,best,veh_passenger,None
1012,c2ae4691748273339b6118aff17eb7803d53a2bf,f569f8b01912e350cc5fb050d42607b0c9b151fa7658fd48621d0a279efb6d115144caf880c5da17069ced3eb31ee212179d451ff085f5e8ef8dba2524e496aa,08/05/2019 06:15:00 PM,08/05/2019 06:15:00 PM,360,0.0,17031081600.0,17031080202.0,8.0,8.0,6.0,1.5,0.0,0.0,7.5,Credit Card,Blue Ribbon Taxi Association Inc.,41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),41.905857769,-87.630865027,POINT (-87.6308650266 41.9058577688),12464.318153216795,10812.165493657812,12310.41427818028,12343.908715041354,965387812#7,24106450#6,taxi_455,2070.607462747516,,best,veh_passenger,None
1013,688baf3bf2455d466e36d9f75e06c844b1fa39bf,a28380255b7e184da541d8a3ee5889651df63f35cab85981cc0c3a4ea746bf06214c3b2ec866d654ab8f3d779812be5eb545ddb38f6a587ad8e4f09f64c1f958,08/06/2019 08:15:00 AM,08/06/2019 08:30:00 AM,840,0.0,17031280100.0,17031081500.0,28.0,8.0,9.75,1.0,0.0,0.0,10.75,No Charge,Taxi Affiliation Services,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),11302.723054060945,10068.785636899062,12685.276812698052,10858.865207103081,145857394#0,56720835#3,taxi_456,2076.346415678501,,best,veh_passenger,None
1014,a03271d19033e07d7b1c1c0b5c6d83c31a9471de,76aeb811c170e849b4e5ef30ca5cda04253106731b8c6233c17eac968f110b95ca7cffbd7ff7f700ece1ddd5f5e8584b89a9b87faee4c38a74db87631c7c78f9,08/06/2019 09:00:00 AM,08/06/2019 09:15:00 AM,494,1.42,17031330100.0,17031839100.0,33.0,32.0,7.75,0.0,0.0,0.0,7.75,Cash,Sun Taxi,41.859349715,-87.617358006,POINT (-87.6173580061 41.859349715),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13393.542399950791,7172.094790545292,12134.00798140082,9584.547444195487,1086422959,1049318472#0,taxi_457,2083.238738837176,,best,veh_passenger,None
1015,a41596566711f4d56aea53c414c01b43ea2d84c0,76c46aac3a21541622da6dcd85e3a2d41c436bfd64e041dfaa590da142f64521829a4e71897d69d682035566310f29477b2e3e730e39b87f251b21d29b5216b5,08/06/2019 11:00:00 AM,08/06/2019 11:00:00 AM,314,0.58,17031320100.0,17031320400.0,32.0,32.0,5.5,2.0,0.0,0.0,8.0,Credit Card,Sun Taxi,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),13112.436993356852,10020.725180737674,13025.133774957969,9179.60784426704,633946076,33116710#0,taxi_458,2087.9304371526277,,best,veh_passenger,None
1018,a7176f22cc715130725a922b37fd46ef2a68a16d,3f2358a8d351775f8bf7a36a6c86f8bbb49a2ea1b2162a90ebebbd0948e88fdf5a24b37c5d599f5d415628430d2739edba6aa4947388ba0774754f55ca541806,08/07/2019 09:15:00 AM,08/07/2019 09:30:00 AM,948,1.37,17031280100.0,17031081403.0,28.0,8.0,9.0,0.0,0.0,0.0,9.0,Cash,Flash Cab,41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),41.890922026,-87.618868355,POINT (-87.6188683546 41.8909220259),11302.723054060945,10068.785636899062,13293.45768353925,10678.380976659246,145857394#0,220306134#2,taxi_459,2093.5711730854637,,best,veh_passenger,None
1020,3ac9444be24147c8e5bb353ea497a945e69b5093,d8b0fe2c3e26891d750a21af12eae713a69ba6b87d8c7e6af01c07350dd650319a96c7f5811f7f06ad89f9d1c64a26f06cdfe6e5e82106058a90c96991e8f6a3,08/07/2019 01:00:00 PM,08/07/2019 01:00:00 PM,211,0.6,17031081800.0,17031081700.0,8.0,8.0,5.0,2.0,0.0,1.0,8.5,Credit Card,Chicago Carriage Cab Corp,41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),11721.124692709534,10944.643321189098,12216.266053279163,10810.601439353079,23891801#0,965387812#0,taxi_460,2096.0425501077216,,best,veh_passenger,None
1021,cda5a45a70c09c253168e7820922583b3b70b8c9,6933327f9cc740e893a882282f7d06460207d6d4e084b364faf6781fd57adda678d4ec204f23e75715af66aa89a3dc0268184162d812bd8f1814ad129c81bdaa,08/07/2019 03:00:00 PM,08/07/2019 03:15:00 PM,540,1.7,17031081500.0,17031243500.0,8.0,24.0,8.25,0.0,0.0,0.0,8.25,Cash,Star North Management LLC,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.892658108,-87.652534484,POINT (-87.6525344838 41.8926581076),12685.276812698052,10858.865207103081,10501.999334765249,10891.82571792975,56720835#3,56716746,taxi_461,2096.739900292504,,best,veh_passenger,None
1022,3e80eeb448dbc9d17d7105a1c5b9fb79162ed29a,924a38617a298fffaf07952020dc1188f8fde7549c2ee5894d64150e3e252d69e0117f357912cdbd601586c8115403e823a8c3900926a939ba670eaf0eb81ed0,08/07/2019 03:30:00 PM,08/07/2019 03:45:00 PM,489,1.42,17031839100.0,17031081402.0,32.0,8.0,7.5,0.0,0.0,0.0,7.5,Cash,24 Seven Taxi,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),12134.00798140082,9584.547444195487,13785.653896661825,10791.375302791595,134319745#0,-435657388,taxi_462,2099.311453650272,,best,veh_passenger,None
1024,b7311f9d195bd5b45f3bc6fb5b0a11f540c9c40d,ee97564f06fa3d9f3b91c737e2fba31d61078abc92c685fd46e01411eed365385d2501851102c85600eb64b51293ec0c778005379297e739e56ea79efc83f3f8,08/07/2019 05:00:00 PM,08/07/2019 05:15:00 PM,846,1.75,17031281900.0,17031833100.0,28.0,28.0,9.5,0.0,0.0,0.0,10.0,Credit Card,Sun Taxi,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.879066994,-87.657005027,POINT (-87.657005027 41.8790669938),11310.927751319367,9397.533141246997,10119.582240774937,9385.669162653387,319345470#0,24102123#4,taxi_463,2101.756889614012,,best,veh_passenger,None
1026,e4dd26fbf28d0cdc4c9896caed9bf52815ad324e,fdc3156afe8accb70f5aea5f2cd2d7cefd089d13b6d930151e1a195fbb53b1caf1b110ebbb901077e295080c2a5a3e1b2d2b42595435d1defd965e1604c1cf90,08/08/2019 12:15:00 PM,08/08/2019 12:15:00 PM,300,0.9,17031320100.0,17031081402.0,32.0,8.0,5.75,0.0,0.0,3.0,8.75,Cash,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.891971508,-87.612945414,POINT (-87.6129454143 41.8919715078),13112.436993356852,10020.725180737674,13785.653896661825,10791.375302791595,583081972,-435657388,taxi_464,2104.6342757297807,,best,veh_passenger,None
1027,296235d8abde5dddf537e02c3ffb10c41eac9a09,c61c244a477893ef6ae3e9f3b98c74df49945c59048d9207ec47254bc223629e021670a350d7a9258dc804e0d4db60d9956adec7c5ac315858f28863fccbf1a7,08/08/2019 06:30:00 PM,08/08/2019 07:00:00 PM,1020,1.0,17031839100.0,17031081700.0,32.0,8.0,9.25,2.0,0.0,0.0,11.25,Credit Card,Star North Management LLC,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),12134.00798140082,9584.547444195487,12216.266053279163,10810.601439353079,134319745#0,965387812#0,taxi_465,2109.495645732447,,best,veh_passenger,None
1028,902692d1de2c4a3fe8613cad86639dadbd7bb830,8820d05ed4f054f9b52842e8018ec0b0ae18b45a766af2a155c93a6cbb196a93aaa035821007d02db18130cb83ca5cb49698e309dec3d59ea444ef4647161469,08/08/2019 07:45:00 PM,08/08/2019 08:00:00 PM,780,0.9,17031081201.0,17031081800.0,8.0,8.0,8.0,4.0,0.0,0.0,12.0,Credit Card,"Taxicab Insurance Agency, LLC",41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),12691.026809468807,11596.955147879198,11721.124692709534,10944.643321189098,1040118849#0,23891801#0,taxi_466,2110.7410122860924,,best,veh_passenger,None
1030,567d24f98696e3cad822df45bff4ce416b478a18,b50eb90cadd2a392b75b725c90d6784b429ca6854e0947174523caaaed12df1e0828a8018739983be35007dc9b24ee0e3b1e098373528584a5a8c2e60bbb3ae6,08/09/2019 06:45:00 PM,08/09/2019 07:00:00 PM,278,0.6,17031081500.0,17031320100.0,8.0,32.0,5.0,0.0,0.0,4.0,9.0,Cash,Medallion Leasin,41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12685.276812698052,10858.865207103081,13112.436993356852,10020.725180737674,56720835#3,633946076,taxi_467,2112.822365603646,,best,veh_passenger,None
1032,90b2d9d2f88d04e26fa2b08a8e5d97acab238492,1be8760476f6abd128dfc50870dce6e97788982a61748f875909027e684977a52d2f5d74e8304cfe4f8e600c5ad1a7109baeab7ebe48db65d2c86c9fc9188cfa,08/09/2019 09:30:00 PM,08/09/2019 09:45:00 PM,720,1.6,17031833000.0,17031081700.0,28.0,8.0,8.75,0.0,0.0,1.0,10.25,Credit Card,Medallion Leasin,41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),41.892042136,-87.63186395,POINT (-87.6318639497 41.8920421365),10105.933551041875,10075.774430510588,12216.266053279163,10810.601439353079,283273061#7,965387812#0,taxi_468,2119.0679139143376,,best,veh_passenger,None
